PropertyType,PropertyGroup,Property,Description
LaboratoryMeasurement,NA,1A1,Field sampling - soil and land use surveys
LaboratoryMeasurement,NA,1A2,Field sampling - diagnositc
LaboratoryMeasurement,NA,1B1,Laboratory preperation
LaboratoryMeasurement,NA,1X1_Al,Total Al XRF
LaboratoryMeasurement,NA,1X1_As,Total As XRF
LaboratoryMeasurement,NA,1X1_Ba,Total Ba XRF
LaboratoryMeasurement,NA,1X1_Br,Total Br XRF
LaboratoryMeasurement,NA,1X1_Ca,Total Ca XRF
LaboratoryMeasurement,NA,1X1_Cd,Total Cd XRF
LaboratoryMeasurement,NA,1X1_Co,Total Co XRF
LaboratoryMeasurement,NA,1X1_Cr,Total Cr XRF
LaboratoryMeasurement,NA,1X1_Cu,Total Cu XRF
LaboratoryMeasurement,NA,1X1_Fe,Total Fe XRF
LaboratoryMeasurement,NA,1X1_Hg,Total Hg XRF
LaboratoryMeasurement,NA,1X1_Mg,Total Mg XRF
LaboratoryMeasurement,NA,1X1_Mn,Total Mn XRF
LaboratoryMeasurement,NA,1X1_Na,Total Na XRF
LaboratoryMeasurement,NA,1X1_Ni,Total Ni XRF
LaboratoryMeasurement,NA,1X1_Pb,Total Pb XRF
LaboratoryMeasurement,NA,1X1_Si,Total Si XRF
LaboratoryMeasurement,NA,1X1_Sr,Total Sr XRF
LaboratoryMeasurement,NA,1X1_Ti,Total Ti XRF
LaboratoryMeasurement,NA,1X1_V,Total V XRF
LaboratoryMeasurement,NA,1X1_Zn,Total Zn XRF
LaboratoryMeasurement,LOSS_ON_IGNITION,2_LOI,Loss on Ignition (%)
LaboratoryMeasurement,SULFUR,20A1,Chromium reducible S
LaboratoryMeasurement,NA,20A2,Total Sulfur - Leco
LaboratoryMeasurement,NA,20A3,"Total Sulfur - Combustion, titration end point"
LaboratoryMeasurement,NA,20A4,"Total Sulfur - Combustion, dry ashing NaCO3, AgBr"
LaboratoryMeasurement,NA,20A5,Total Sulfur - Alkaline Na hypobromite oxidation + reduction hydroiodic acid reduction
LaboratoryMeasurement,NA,20A6,"Total Sulfur - Acid oxidation using nitric, perchloric, phosphoric, hydrochloric acids"
LaboratoryMeasurement,NA,20A7,Total Sulfur - Bromine-Nitric Acid oxidation (Vogel's quantitative inorganic analysis)
LaboratoryMeasurement,NA,20A9,Total Sulfur - Summation from procedure 20D
LaboratoryMeasurement,TAA,20B1,SPOCAS acid trail - titratable actual acidity (TAA)
LaboratoryMeasurement,SU,20Ba,"4M HCl extractable Sulfur - sulfate, turbidmetric"
LaboratoryMeasurement,SU,20Bb,"4M HCl extractable Sulfur - sulfate, gravimetric"
LaboratoryMeasurement,SU,20Bc,"4M HCl extractable Sulfur - sulfate, automated colour"
LaboratoryMeasurement,SU,20Bd,"4M HCl extractable Sulfur - sulfate, ion chromatography"
LaboratoryMeasurement,SU,20Be,"4M HCl extractable Sulfur - sulfur, ICPAES"
LaboratoryMeasurement,SU,20Bf,"4M HCl extractable Sulfur - sulfate, automated turbidmetric"
LaboratoryMeasurement,SU,20Bg,"4M HCl extractable Sulfur - sulfate, indirect, barium remaining by AAS"
LaboratoryMeasurement,CA,20Bh,"4M HCl extractable calcium, ICPAES"
LaboratoryMeasurement,CA,20Bj,"4M HCl extractable calcium, atomic absorption (AAS)"
LaboratoryMeasurement,CA,20Bk,"4M HCl extractable calcium, titration EDTA"
LaboratoryMeasurement,MG,20Bm,"4M HCl extractable magnesium, ICPAES"
LaboratoryMeasurement,MG,20Bn,"4M HCl extractable magnesium, atomic absorption (AAS)"
LaboratoryMeasurement,MG,20Bp,"4M HCl extractable magnesium, titration EDTA"
LaboratoryMeasurement,NA,20Bs,"4M HCl extractable sodium, ICPAES"
LaboratoryMeasurement,NA,20Bt,"4M HCl extractable sodium, atomic absorption (AAS)"
LaboratoryMeasurement,NA,20Bu,"4M HCl extractable sodium, flame emission"
LaboratoryMeasurement,K,20Bv,"4M HCl extractable potassium, ICPAES"
LaboratoryMeasurement,MG,20Bw,"4M HCl extractable potassium, atomic absorption (AAS)"
LaboratoryMeasurement,K,20Bx,"4M HCl extractable potassium, flame emission"
LaboratoryMeasurement,ANC,20C1_ANC,SPOCAS acid trail - Net Acid Neutralising Capacity (ANC)
LaboratoryMeasurement,TPA,20C1_TPA,SPOCAS acid trail - titratable peroxide acidity (TPA)
LaboratoryMeasurement,NA,20C1a,"Total Oxidisable Sulfur by XRF and turbidmetric, SO4"
LaboratoryMeasurement,NA,20C1b,"Total Oxidisable Sulfur by XRF and Gravimetric, SO4"
LaboratoryMeasurement,NA,20C1c,"Total Oxidisable Sulfur by XRF and Auto colour, SO4"
LaboratoryMeasurement,NA,20C1d,"Total Oxidisable Sulfur by XRF and Ion chromo, SO4"
LaboratoryMeasurement,NA,20C1e,"Total Oxidisable Sulfur by XRF and ICPAES, S"
LaboratoryMeasurement,NA,20C1f,"Total Oxidisable Sulfur by XRF and Auto turbidmetric, SO4"
LaboratoryMeasurement,NA,20C1g,"Total Oxidisable Sulfur by XRF and Indirect Ba by AAS, SO4"
LaboratoryMeasurement,NA,20C2a,"Total Oxidisable Sulfur by Leco and turbidmetric, SO4"
LaboratoryMeasurement,NA,20C2b,"Total Oxidisable Sulfur by Leco and Gravimetric, SO4"
LaboratoryMeasurement,NA,20C2c,"Total Oxidisable Sulfur by Leco and Auto colour, SO4"
LaboratoryMeasurement,NA,20C2d,"Total Oxidisable Sulfur by Leco and Ion chromo, SO4"
LaboratoryMeasurement,NA,20C2e,"Total Oxidisable Sulfur by Leco and ICPAES, S"
LaboratoryMeasurement,NA,20C2f,"Total Oxidisable Sulfur by Leco and Auto turbidmetric, SO4"
LaboratoryMeasurement,NA,20C2g,"Total Oxidisable Sulfur by Leco and Indirect Ba by AAS, SO4"
LaboratoryMeasurement,NA,20C3a,"Total Oxidisable Sulfur by Combustion, titration and turbidmetric, SO4"
LaboratoryMeasurement,NA,20C3b,"Total Oxidisable Sulfur by Combustion, titration and Gravimetric, SO4"
LaboratoryMeasurement,NA,20C3c,"Total Oxidisable Sulfur by Combustion, titration and Auto colour, SO4"
LaboratoryMeasurement,NA,20C3d,"Total Oxidisable Sulfur by Combustion, titration and Ion chromo, SO4"
LaboratoryMeasurement,NA,20C3e,"Total Oxidisable Sulfur by Combustion, titration and ICPAES, S"
LaboratoryMeasurement,NA,20C3f,"Total Oxidisable Sulfur by Combustion, titration and Auto turbidmetric, SO4"
LaboratoryMeasurement,NA,20C3g,"Total Oxidisable Sulfur by Combustion, titration and Indirect Ba by AAS, SO4"
LaboratoryMeasurement,NA,20C4a,"Total Oxidisable Sulfur by Combustion, dry ashing and turbidmetric, SO4"
LaboratoryMeasurement,NA,20C4b,"Total Oxidisable Sulfur by Combustion, dry ashing and Gravimetric, SO4"
LaboratoryMeasurement,NA,20C4c,"Total Oxidisable Sulfur by Combustion, dry ashing and Auto colour, SO4"
LaboratoryMeasurement,NA,20C4d,"Total Oxidisable Sulfur by Combustion, dry ashing and Ion chromo, SO4"
LaboratoryMeasurement,NA,20C4e,"Total Oxidisable Sulfur by Combustion, dry ashing and ICPAES, S"
LaboratoryMeasurement,NA,20C4f,"Total Oxidisable Sulfur by Combustion, dry ashing and Auto turbidmetric, SO4"
LaboratoryMeasurement,NA,20C4g,"Total Oxidisable Sulfur by Combustion, dry ashing and Indirect Ba by AAS, SO4"
LaboratoryMeasurement,NA,20C5a,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and turbidmetric, SO4"
LaboratoryMeasurement,NA,20C5b,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Gravimetric, SO4"
LaboratoryMeasurement,NA,20C5c,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Auto colour, SO4"
LaboratoryMeasurement,NA,20C5d,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Ion chromo, SO4"
LaboratoryMeasurement,NA,20C5e,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and ICPAES, S"
LaboratoryMeasurement,NA,20C5f,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Auto turbidmetric, SO4"
LaboratoryMeasurement,NA,20C5g,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Indirect Ba by AAS, SO4"
LaboratoryMeasurement,NA,20C6a,"Total Oxidisable Sulfur by Acid ox and turbidmetric, SO4"
LaboratoryMeasurement,NA,20C6b,"Total Oxidisable Sulfur by Acid ox and Gravimetric, SO4"
LaboratoryMeasurement,NA,20C6c,"Total Oxidisable Sulfur by Acid ox and Auto colour, SO4"
LaboratoryMeasurement,NA,20C6d,"Total Oxidisable Sulfur by Acid ox and Ion chromo, SO4"
LaboratoryMeasurement,NA,20C6e,"Total Oxidisable Sulfur by Acid ox and ICPAES, S"
LaboratoryMeasurement,NA,20C6f,"Total Oxidisable Sulfur by Acid ox and Auto turbidmetric, SO4"
LaboratoryMeasurement,NA,20C6g,"Total Oxidisable Sulfur by Acid ox and Indirect Ba by AAS, SO4"
LaboratoryMeasurement,NA,20C7a,"Total Oxidisable Sulfur by Br-Nitric ox and turbidmetric, SO4"
LaboratoryMeasurement,NA,20C7b,"Total Oxidisable Sulfur by Br-Nitric ox and Gravimetric, SO4"
LaboratoryMeasurement,NA,20C7c,"Total Oxidisable Sulfur by Br-Nitric ox and Auto colour, SO4"
LaboratoryMeasurement,NA,20C7d,"Total Oxidisable Sulfur by Br-Nitric ox and Ion chromo, SO4"
LaboratoryMeasurement,NA,20C7e,"Total Oxidisable Sulfur by Br-Nitric ox and ICPAES, S"
LaboratoryMeasurement,NA,20C7f,"Total Oxidisable Sulfur by Br-Nitric ox and Auto turbidmetric, SO4"
LaboratoryMeasurement,NA,20C7g,"Total Oxidisable Sulfur by Br-Nitric ox and Indirect Ba by AAS, SO4"
LaboratoryMeasurement,NA,20D1,Total oxidisable sulfur prewash 4M HCl and H2O - XRF
LaboratoryMeasurement,CA,20D1_CA,1 M KCl - extractable Ca
LaboratoryMeasurement,MG,20D1_MG,1 M KCl - extractable Mg
LaboratoryMeasurement,SULFUR,20D1_S,1 M KCl - extractable S
LaboratoryMeasurement,NA,20D2,Total oxidisable sulfur prewash 4M HCl and H2O - Leco
LaboratoryMeasurement,NA,20D3,"Total oxidisable sulfur prewash 4M HCl and H2O - Combustion, titration end point"
LaboratoryMeasurement,NA,20D4,"Total oxidisable sulfur prewash 4M HCl and H2O - Combustion, dry ashing NaCO3, AgBr"
LaboratoryMeasurement,NA,20D5,Total oxidisable sulfur prewash 4M HCl and H2O - Alkaline Na hypobromite oxidation + reduction hydroiodic acid reduction
LaboratoryMeasurement,NA,20D6,"Total oxidisable sulfur prewash 4M HCl and H2O - Acid oxidation using nitric, perchloric, phosphoric, hydrochloric acids"
LaboratoryMeasurement,CA,20E1_CA,1 M KCl - extractable Ca after peroxide oxidation
LaboratoryMeasurement,MG,20E1_MG,1 M KCl - extractable Mg after peroxide oxidation
LaboratoryMeasurement,SULFUR,20E1_S,1 M KCl - extractable S after peroxide oxidation
LaboratoryMeasurement,SULFUR,20F1,"Sulfur - 4 M HCl extraction, ICPAES"
LaboratoryMeasurement,SULFUR,20F2,"Sulfur - 4 M HCl extraction, ion chromatography"
LaboratoryMeasurement,SULFUR,20G1,Peroxide residual acid soluble sulfur
LaboratoryMeasurement,ANC,20H1,Acid neutralising capacity - acid reacted and back titration
LaboratoryMeasurement,ANC,20I1,Acid neutralising capacity - from SPOCAS
LaboratoryMeasurement,NA,20J,S nas
LaboratoryMeasurement,ASS_HAZARD,20J1_RQNC,Field approximation of ASS hazard
LaboratoryMeasurement,ASS_HAZARD,20J1_TAA,Field approximation of ASS hazard
LaboratoryMeasurement,ASS_HAZARD,20J1_TSA,Field approximation of ASS hazard
LaboratoryMeasurement,ASS_PRESENCE,20K1,Quick field approximation of ASS presence and associated lime reqirement for drain spoil
LaboratoryMeasurement,NA,21A,"pH of filtered 1:20 1M KCl extract, overnight shake (TAA)"
LaboratoryMeasurement,NA,21Af,pH done in field on saturated soil sample using pH probe
LaboratoryMeasurement,NA,21B,pH of filtered 1:20 1M KCl after peroxide digestion
LaboratoryMeasurement,NA,21Bf,pH done in field of 30% peroxide reaction
LaboratoryMeasurement,NA,21C,KCl extractable S
LaboratoryMeasurement,NA,21Ca,"KCL extractable S - sulfate, turbidmetric"
LaboratoryMeasurement,NA,21Cb,"KCL extractable S - sulfate, gravimetric"
LaboratoryMeasurement,NA,21Cc,"KCL extractable S - sulfate, automated colour"
LaboratoryMeasurement,NA,21Cd,"KCL extractable S - sulfate, ion chromatography"
LaboratoryMeasurement,NA,21Ce,"KCL extractable S - sulfur, ICPAES"
LaboratoryMeasurement,NA,21Cf,"KCL extractable S - sulfate, automated turbidmetric"
LaboratoryMeasurement,NA,21Cg,"KCL extractable S - sulfate, indirect, barium remaining by AAS"
LaboratoryMeasurement,NA,21Ch,"KCL extractable S - calcium, ICPAES"
LaboratoryMeasurement,NA,21Cj,"KCL extractable S - calcium, atomic absorption (AAS)"
LaboratoryMeasurement,NA,21Ck,"KCL extractable S - calcium, titration EDTA"
LaboratoryMeasurement,NA,21Cm,"KCL extractable S - magnesium, ICPAES"
LaboratoryMeasurement,NA,21Cn,"KCL extractable S - magnesium, atomic absorption (AAS)"
LaboratoryMeasurement,NA,21Cp,"KCL extractable S - magnesium, titration EDTA"
LaboratoryMeasurement,NA,21Cs,"KCL extractable S - sodium, ICPAES"
LaboratoryMeasurement,NA,21Ct,"KCL extractable S - sodium, atomic absorption (AAS)"
LaboratoryMeasurement,NA,21Cu,"KCL extractable S - sodium, flame emission"
LaboratoryMeasurement,NA,21D,Peroxide sulfur after peroxide digestion
LaboratoryMeasurement,NA,21Da,"KCl Extractable sulfur after ox - sulfate, turbidmetric"
LaboratoryMeasurement,NA,21Db,"KCl Extractable sulfur after ox - sulfate, gravimetric"
LaboratoryMeasurement,NA,21Dc,"KCl Extractable sulfur after ox - sulfate, automated colour"
LaboratoryMeasurement,NA,21Dd,"KCl Extractable sulfur after ox - sulfate, ion chromatography"
LaboratoryMeasurement,NA,21De,"1M KCL,1:20,after ox.,ICP"
LaboratoryMeasurement,NA,21Df,KCl Extractable sulfur after ox - automated turbidmetric
LaboratoryMeasurement,NA,21Dg,"KCl Extractable sulfur after ox - sulfate, indirect, barium remaining by AAS"
LaboratoryMeasurement,NA,21E,Peroxide oxidisable S - 21D minus 21C
LaboratoryMeasurement,NA,21Ee,Peroxide oxidisable S - 21De minus 21Ce
LaboratoryMeasurement,NA,21F,Total Actual Acidity (TAA) in 1M KCl titrated to pH 5.5
LaboratoryMeasurement,NA,21G,Total Potential Acidity (TPA) in 1M KCl peroxide digestion titrated to pH 5.5
LaboratoryMeasurement,NA,21H,Total Sulfidic Acidity (TSA) - 21G minus 21F
LaboratoryMeasurement,NA,21J,TAA - calculated as equivalent pyrite S%
LaboratoryMeasurement,NA,21K,TPA -calculated as equivalent pyrite S%
LaboratoryMeasurement,NA,21L,TSA - calculated as equivalent pyrite S%
LaboratoryMeasurement,NA,21M,Na extracted in 1M KCl (TAA)
LaboratoryMeasurement,NA,21Ms,"Sodium, before ox. - ICPAES"
LaboratoryMeasurement,NA,21Mt,"Sodium, before ox. - atomic absorption (AAS)"
LaboratoryMeasurement,NA,21Mu,"Sodium, before ox. - flame emission"
LaboratoryMeasurement,NA,21N,Na in peroxide digest (TPA)
LaboratoryMeasurement,NA,21Ns,"Sodium, after ox. - ICPAES"
LaboratoryMeasurement,NA,21Nt,"Sodium, after ox. - atomic absorption (AAS)"
LaboratoryMeasurement,NA,21Nu,"Sodium, after ox. - flame emission"
LaboratoryMeasurement,NA,21P,Na difference (21N minus 21M)
LaboratoryMeasurement,NA,21Ps,Na difference (21Ns minus 21Ms)  - ICPAES
LaboratoryMeasurement,NA,21Q,Quick residual neutralising capacity
LaboratoryMeasurement,NA,21R,"Quick residual neutralising capacity (21Q), calculated as equivalent S%"
LaboratoryMeasurement,NA,21S,Mg extracted in 1M KCl (TAA)
LaboratoryMeasurement,NA,21Sm,"Magnesium, before ox. - ICPAES"
LaboratoryMeasurement,NA,21Sn,"Magnesium, before ox. - atomic absorption (AAS)"
LaboratoryMeasurement,NA,21Sp,"Magnesium, before ox. - titration EDTA"
LaboratoryMeasurement,NA,21T,Mg in peroxide digest (TPA)
LaboratoryMeasurement,NA,21Tm,"Magnesium, after ox. - ICPAES"
LaboratoryMeasurement,NA,21Tn,"Magnesium, after ox. - atomic absorption (AAS)"
LaboratoryMeasurement,NA,21Tp,"Magnesium, after ox.  - titration EDTA"
LaboratoryMeasurement,NA,21U,Mg reacted with acid generated by peroxide digestion (21T minus 21S)
LaboratoryMeasurement,NA,21Um,Mg reacted with acid generated by peroxide digestion (21Tm minus 21Sm) - ICPAES
LaboratoryMeasurement,CA,21V,Ca extracted in 1M KCl (TAA)
LaboratoryMeasurement,CA,21Vh,"Calcium, before ox. - ICPAES"
LaboratoryMeasurement,CA,21Vj,"Calcium, before ox. - atomic absorption (AAS)"
LaboratoryMeasurement,CA,21Vk,"Calcium, before ox.  - titration EDTA"
LaboratoryMeasurement,CA,21W,Ca in peroxide digest (TPA)
LaboratoryMeasurement,CA,21Wh,"Calcium, after ox. - ICPAES"
LaboratoryMeasurement,CA,21Wj,"Calcium, after ox. - atomic absorption (AAS)"
LaboratoryMeasurement,CA,21Wk,"Calcium, after ox. - titration EDTA"
LaboratoryMeasurement,CA,21X,Ca reacted with acid generated by peroxide digestion (21W minus 21V)
LaboratoryMeasurement,CA,21Xh,Ca reacted with acid generated by peroxide digestion (21Wh minus 21Vh) - ICPAES
LaboratoryMeasurement,NA,22A,"Sulfur, Acid Volitile"
LaboratoryMeasurement,S,22B,Chromium Reducible Sulfur
LaboratoryMeasurement,NA,23A,"pH of 1:40 1M KCl suspension 4h shake, overnight stand (TAA)"
LaboratoryMeasurement,NA,23A1,Tri-Acid Digest (Heavy metal) AAS hydride
LaboratoryMeasurement,NA,23Af,pH done in field on saturated soil sample using pH probe
LaboratoryMeasurement,NA,23B,pH of  1:25 suspension after peroxide digestion
LaboratoryMeasurement,NA,23Bf,pH done in field of 30% peroxide reaction
LaboratoryMeasurement,NA,23C,KCl Extractable sulfur before ox
LaboratoryMeasurement,NA,23Ca,"KCl Extractable sulfur before ox - sulfate, turbidmetric"
LaboratoryMeasurement,NA,23Cb,"KCl Extractable sulfur before ox - sulfate, gravimetric"
LaboratoryMeasurement,NA,23Cc,"KCl Extractable sulfur before ox - sulfate, automated colour"
LaboratoryMeasurement,NA,23Cd,"KCl Extractable sulfur before ox - sulfate, ion chromatography"
LaboratoryMeasurement,NA,23Ce,KCl Extractable sulfur before ox - ICPAES
LaboratoryMeasurement,NA,23Cf,KCl Extractable sulfur before ox - automated turbidmetric
LaboratoryMeasurement,NA,23Cg,"KCl Extractable sulfur before ox - sulfate, indirect, barium remaining by AAS"
LaboratoryMeasurement,NA,23D,KCl Extractable sulfur after ox - sulfate
LaboratoryMeasurement,NA,23Da,"KCl Extractable sulfur after ox - sulfate, turbidmetric"
LaboratoryMeasurement,NA,23Db,"KCl Extractable sulfur after ox - sulfate, gravimetric"
LaboratoryMeasurement,NA,23Dc,"KCl Extractable sulfur after ox - sulfate, automated colour"
LaboratoryMeasurement,NA,23Dd,"KCl Extractable sulfur after ox - sulfate, ion chromatography"
LaboratoryMeasurement,NA,23De,KCl Extractable sulfur after ox - ICPAES
LaboratoryMeasurement,NA,23Df,KCl Extractable sulfur after ox - automated turbidmetric
LaboratoryMeasurement,NA,23Dg,"KCl Extractable sulfur after ox - sulfate, indirect, barium remaining by AAS"
LaboratoryMeasurement,NA,23E,Peroxide oxidisable S - 21D minus 21C
LaboratoryMeasurement,NA,23Ee,Peroxide oxidisable S - 21D minus 21C- ICPAES
LaboratoryMeasurement,NA,23F,Titratable Actual Acidity (TAA) in 1M KCl titrated to pH 6.5
LaboratoryMeasurement,NA,23G,Titratable Peroxide Acidity (TPA) in 1M KCl peroxide digestion titrated to pH 6.5
LaboratoryMeasurement,NA,23H,Titratable Sulfidic Acidity (TSA) - 23G minus 23F
LaboratoryMeasurement,NA,23Q,Excess Acid Neutralising Capacity Back Tit to pH 4.0 minus TPA tit to pH  6.5
LaboratoryMeasurement,NA,23R,Residual acid extractable S after peroxide
LaboratoryMeasurement,NA,23Re,Residual acid extractable S after peroxide -ICP
LaboratoryMeasurement,NA,23S,"Magnesium extracted in 1M KCl, after TAA Titration"
LaboratoryMeasurement,NA,23Sm,"Magnesium extracted in 1M KCl, after TAA Titration - ICPAES"
LaboratoryMeasurement,NA,23Sn,"Magnesium extracted in 1M KCl, after TAA Titration - atomic absorption (AAS)"
LaboratoryMeasurement,NA,23Sp,"Magnesium extracted in 1M KCl, after TAA Titration - titration EDTA"
LaboratoryMeasurement,NA,23T,Magnesium in peroxide digest (after TPA digestion and titration)
LaboratoryMeasurement,NA,23Tm,Magnesium in peroxide digest (after TPA digestion and titration) - ICPAES
LaboratoryMeasurement,NA,23Tn,Magnesium in peroxide digest (after TPA digestion and titration) - atomic absorption (AAS)
LaboratoryMeasurement,NA,23Tp,Magnesium in peroxide digest (after TPA digestion and titration) - titration EDTA
LaboratoryMeasurement,NA,23U,Magnesium reacted with acid generated by peroxide digest (23T minus 23S)
LaboratoryMeasurement,NA,23Um,Magnesium reacted with acid generated by peroxide digest (23Tm minus 23Sm) - ICPAES
LaboratoryMeasurement,C/S,23V,"Calcium extracted in 1M KCl, after TAA Titration"
LaboratoryMeasurement,CA,23Vh,"Calcium extracted in 1M KCl, after TAA Titration - ICPAES"
LaboratoryMeasurement,CA,23Vj,"Calcium extracted in 1M KCl, after TAA Titration - atomic absorption (AAS)"
LaboratoryMeasurement,CA,23Vk,"Calcium extracted in 1M KCl, after TAA Titration - titration EDTA"
LaboratoryMeasurement,CA,23W,Calcium in peroxide digest (after TPA digestion and titration)
LaboratoryMeasurement,CA,23Wh,Calcium in peroxide digest (after TPA digestion and titration)- ICPAES
LaboratoryMeasurement,CA,23Wj,Calcium in peroxide digest (after TPA digestion and titration) - atomic absorption (AAS)
LaboratoryMeasurement,CA,23Wk,Calcium in peroxide digest (after TPA digestion and titration) - titration EDTA
LaboratoryMeasurement,CA,23X,Calcium reacted with acid generated by peroxide digest (23W minus 23V)
LaboratoryMeasurement,CA,23Xh,Calcium reacted with acid generated by peroxide digest (23Wh minus 23Vh) - ICPAES
LaboratoryMeasurement,MOISTURE_CONTENT,2A1,Air-dry moisture content
LaboratoryMeasurement,MOISTURE_CONTENT,2A1_MQ01,Air dry moisture - MIR QLD Calibration 1
LaboratoryMeasurement,MOISTURE_CONTENT,2A1_MQ02,Air dry moisture
LaboratoryMeasurement,MOISTURE_CONTENT,2B1,As received moisture content
LaboratoryMeasurement,MOISTURE_CONTENT,2C1,Moisture content - 10 mm tension
LaboratoryMeasurement,MOISTURE_CONTENT,2D1,Moisture content - approximate saturation paste
LaboratoryMeasurement,MOISTURE_RELEASE,2E1,"15 Bar, pressure plate"
LaboratoryMeasurement,MOISTURE_RELEASE,2E1_MQ01,15 bar moisture - MIR QLD Calibration 1
LaboratoryMeasurement,MOISTURE_RELEASE,2E1_MQ02,15 Bar moisture
LaboratoryMeasurement,MOISTURE_RELEASE,2E2,"1/3 Bar, pressure plate"
LaboratoryMeasurement,MOISTURE_RELEASE,2E3,"1/10 Bar, pressure plate"
LaboratoryMeasurement,MOISTURE_RELEASE,2E4,"1 Bar, pressure plate"
LaboratoryMeasurement,NA,2Y1,Available water capacity - calc (diff 2E2 and 2E1)
LaboratoryMeasurement,NA,2Y2,PAWC
LaboratoryMeasurement,NA,2Z1_R1,Aqu. Silt+Clay/Total Silt+Clay
LaboratoryMeasurement,DISPERSION_INDEX,2Z1_R2,Dispersion ratio
LaboratoryMeasurement,NA,2Z2_Clay,Clay fraction
LaboratoryMeasurement,NA,2Z2_Clay_C,Clay (%) - Coventry and Fett pipette method
LaboratoryMeasurement,NA,2Z2_Clay_M,Clay - MIR QLD Calibration 1
LaboratoryMeasurement,NA,2Z2_Clay_N,Clay (%) - Not recorded
LaboratoryMeasurement,NA,2Z2_Clay_P,Clay (%) - Plummet balance
LaboratoryMeasurement,NA,2Z2_CS,Coarse sand fraction
LaboratoryMeasurement,NA,2Z2_CS_CF,Coarse sand (%) - Coventry and Fett pipette method
LaboratoryMeasurement,NA,2Z2_CS_NR,Coarse sand (%) - Not recorded
LaboratoryMeasurement,NA,2Z2_CS_PB,Coarse sand (%) - Plummet balance
LaboratoryMeasurement,NA,2Z2_FS,Fine sand fraction
LaboratoryMeasurement,NA,2Z2_FS_CF,Fine sand (%) - Coventry and Fett pipette method
LaboratoryMeasurement,NA,2Z2_FS_NR,Fine sand (%) - Not recorded
LaboratoryMeasurement,NA,2Z2_FS_PB,Fine sand (%) - Plummet balance
LaboratoryMeasurement,NA,2Z2_Grav,Gravel (%)
LaboratoryMeasurement,NA,2Z2_Silt,Silt fraction
LaboratoryMeasurement,NA,2Z2_Silt_C,Silt (%) - Coventry and Fett pipette method
LaboratoryMeasurement,NA,2Z2_Silt_M,Silt - MIR QLD Calibration 1
LaboratoryMeasurement,NA,2Z2_Silt_N,Silt (%) - Not recorded
LaboratoryMeasurement,NA,2Z2_Silt_P,Silt (%) - Plummet balance
LaboratoryMeasurement,NA,2Z2_TotSan,Total sand - MIR QLD Calibration 1
LaboratoryMeasurement,DENSITY,2Z3,Bulk Density
LaboratoryMeasurement,NA,2Z3_CS,CS
LaboratoryMeasurement,NA,2Z3_FS,FS
LaboratoryMeasurement,EC,3_C_B,Electrical conductivity or soluble salts - Total soluble salts %
LaboratoryMeasurement,EC,3_NR,Electrical conductivity or soluble salts - Not recorded
LaboratoryMeasurement,EC,3A_C_2.5,EC of 1:2.5 soil/water extract
LaboratoryMeasurement,EC,3A_TSS,Electrical conductivity or soluble salts - Total soluble salts %
LaboratoryMeasurement,EC,3A1,EC of 1:5 soil/water extract
LaboratoryMeasurement,SOLUBLE_SALT,3B1,Estimation of soluble salt concentration
LaboratoryMeasurement,IONIC_STRENGTH,3C1,Estimation of soil ionic strength
LaboratoryMeasurement,REDOX_POTENTIAL,3D1,Redox potential (Eh; field)
LaboratoryMeasurement,PH,4_NR,pH of soil - Not recorded
LaboratoryMeasurement,PH,4A_C_1,pH of soil - pH of 1:1 soil/water suspension
LaboratoryMeasurement,PH,4A_C_2.5,pH of soil - pH of 1:2.5 soil/water suspension
LaboratoryMeasurement,PH,4A1,pH of 1:5 soil/water suspension
LaboratoryMeasurement,NA,4A1_MQ01,pH aqueous - MIR QLD Calibration 1
LaboratoryMeasurement,NA,4A1_MQ02,pH aqueous
LaboratoryMeasurement,NA,4B_AL,NA
LaboratoryMeasurement,NA,4B_AL_NR,NA
LaboratoryMeasurement,PH,4B_C_2.5,pH of soil - pH of 1:2.5 Soil/0.1M CaCl2 suspension
LaboratoryMeasurement,PH,4B1,pH of 1:5 soil/0.01M calcium chloride extract - direct
LaboratoryMeasurement,PH,4B2,pH of 1:5 soil/0.01M calcium chloride extract - following Method 4A1
LaboratoryMeasurement,PH,4C_C_1,pH of 1:1 soil/1M potassium chloride suspension
LaboratoryMeasurement,PH,4C1,pH of 1:5 soil/1M potassium chloride extract - direct
LaboratoryMeasurement,PH,4C2,pH of 1:5 soil/1M potassium chloride extract - following Method 4A1
LaboratoryMeasurement,PH,4D1,pH of sodium fluoride suspension
LaboratoryMeasurement,PH,4E1,pH of hydrogen peroxide extract
LaboratoryMeasurement,PH_CHANGE,4F1,pH change
LaboratoryMeasurement,NA,4G_NR,NA
LaboratoryMeasurement,PH,4G1,Field determination of pH
LaboratoryMeasurement,CHLORIDE,5_C_B,Water soluble Chloride - Method recorded as B
LaboratoryMeasurement,CHLORIDE,5_NR,Water soluble Chloride - Cl(%) - Not recordede
