PropertyType,PropertyGroup,Property,Description
FieldMeasurement,MOTTLES,MOTT_BOUN_DISTINCT,Distinctness of boundaries
FieldMeasurement,OBSERVATIONS,O_ID,Observation identifier
FieldMeasurement,OBSERVATIONS,O_TYPE,Type of soil observation
FieldMeasurement,OBSERVATIONS,O_NATURE,Nature of observation e.g. characterisation  single  etc
FieldMeasurement,OBSERVATIONS,O_DESC_BY,Officer code p13
FieldMeasurement,OBSERVATIONS,O_DATE_DESC,Date site described p13 ddmmyyyy
FieldMeasurement,OBSERVATIONS,O_DATUM,Datum of the coordinates
FieldMeasurement,OBSERVATIONS,O_LOCATION_STATE,State e.g. TAS  NSW  VIC
FieldMeasurement,OBSERVATIONS,O_LOCATION_NOTES,Free text location notes
FieldMeasurement,OBSERVATIONS,O_LAND_USE,Land use code
FieldMeasurement,OBSERVATIONS,O_FOREST_TYPE,Type of forest p73 (2 Ed)
FieldMeasurement,OBSERVATIONS,O_RF_COMPLEX,Rainforest complexity p77
FieldMeasurement,OBSERVATIONS,O_RF_LEAFSIZE,Rainforest leaf size of tallest stratum trees p81
FieldMeasurement,OBSERVATIONS,O_RF_FLOR_COMP,Rainforest floristic composition of tallest stratum trees
FieldMeasurement,OBSERVATIONS,O_RF_INDICATOR,Rainforest indicator growth form p84 (2nd Ed)
FieldMeasurement,OBSERVATIONS,O_RF_EMERGENTS,Rainforest emergents p85
FieldMeasurement,OBSERVATIONS,O_SCLEROPHYLL,Sclerophyll presence in canopy p63 85
FieldMeasurement,OBSERVATIONS,O_VEG_NOTES,Free text vegetation notes
FieldMeasurement,OBSERVATIONS,O_ELEVATION_EVAL,Elevation evaluation p127
FieldMeasurement,OBSERVATIONS,O_ELEVATION_PF,Elevation prefix
FieldMeasurement,OBSERVATIONS,O_DRAINAGE_EVAL,Drainage height evaluation
FieldMeasurement,OBSERVATIONS,O_DRAINAGE,Drainage  soil water regime  p202
FieldMeasurement,OBSERVATIONS,O_MR_SAMPLED,Component of microrelief sampled p133
FieldMeasurement,OBSERVATIONS,O_SOIL_DISTURB,Soil disturbance
FieldMeasurement,OBSERVATIONS,O_WIND_STATE,Wind erosion state p134
FieldMeasurement,OBSERVATIONS,O_WIND_DEG,Wind erosion degree p134
FieldMeasurement,OBSERVATIONS,O_WIND_STABILITY,Wind erosion stability
FieldMeasurement,OBSERVATIONS,O_WIND_VISIBILITY,Wind erosion occurring on the day
FieldMeasurement,OBSERVATIONS,O_SCALD_DEG,Scald erosion degree p135
